2021-03-20 10:42:55,606 - Testing at epoch 100
2021-03-20 10:42:55,670 - Epoch: 100, SNRdB: 5.00, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,675 - Epoch: 100, SNRdB: 5.16, SER: 0.500, BER: 0.500
2021-03-20 10:42:55,679 - Epoch: 100, SNRdB: 5.31, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,683 - Epoch: 100, SNRdB: 5.47, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,687 - Epoch: 100, SNRdB: 5.63, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,691 - Epoch: 100, SNRdB: 5.79, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,695 - Epoch: 100, SNRdB: 5.94, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,699 - Epoch: 100, SNRdB: 6.10, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,703 - Epoch: 100, SNRdB: 6.26, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,707 - Epoch: 100, SNRdB: 6.42, SER: 1.000, BER: 0.500
2021-03-20 10:42:55,711 - Epoch: 100, SNRdB: 6.57, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,714 - Epoch: 100, SNRdB: 6.73, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,718 - Epoch: 100, SNRdB: 6.89, SER: 1.000, BER: 0.750
2021-03-20 10:42:55,722 - Epoch: 100, SNRdB: 7.05, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,726 - Epoch: 100, SNRdB: 7.20, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,729 - Epoch: 100, SNRdB: 7.36, SER: 1.000, BER: 0.750
2021-03-20 10:42:55,733 - Epoch: 100, SNRdB: 7.52, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,736 - Epoch: 100, SNRdB: 7.68, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,740 - Epoch: 100, SNRdB: 7.83, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,743 - Epoch: 100, SNRdB: 7.99, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,747 - Epoch: 100, SNRdB: 8.15, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,750 - Epoch: 100, SNRdB: 8.31, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,754 - Epoch: 100, SNRdB: 8.46, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,757 - Epoch: 100, SNRdB: 8.62, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,760 - Epoch: 100, SNRdB: 8.78, SER: 1.000, BER: 0.500
2021-03-20 10:42:55,764 - Epoch: 100, SNRdB: 8.94, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,767 - Epoch: 100, SNRdB: 9.09, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,770 - Epoch: 100, SNRdB: 9.25, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,774 - Epoch: 100, SNRdB: 9.41, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,777 - Epoch: 100, SNRdB: 9.57, SER: 0.500, BER: 0.500
2021-03-20 10:42:55,780 - Epoch: 100, SNRdB: 9.72, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,783 - Epoch: 100, SNRdB: 9.88, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,787 - Epoch: 100, SNRdB: 10.04, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,790 - Epoch: 100, SNRdB: 10.20, SER: 0.500, BER: 0.500
2021-03-20 10:42:55,793 - Epoch: 100, SNRdB: 10.35, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,796 - Epoch: 100, SNRdB: 10.51, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,799 - Epoch: 100, SNRdB: 10.67, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,802 - Epoch: 100, SNRdB: 10.83, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,805 - Epoch: 100, SNRdB: 10.98, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,809 - Epoch: 100, SNRdB: 11.14, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,812 - Epoch: 100, SNRdB: 11.30, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,815 - Epoch: 100, SNRdB: 11.46, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,818 - Epoch: 100, SNRdB: 11.61, SER: 0.500, BER: 0.500
2021-03-20 10:42:55,821 - Epoch: 100, SNRdB: 11.77, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,824 - Epoch: 100, SNRdB: 11.93, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,827 - Epoch: 100, SNRdB: 12.09, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,830 - Epoch: 100, SNRdB: 12.24, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,833 - Epoch: 100, SNRdB: 12.40, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,836 - Epoch: 100, SNRdB: 12.56, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,839 - Epoch: 100, SNRdB: 12.72, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,842 - Epoch: 100, SNRdB: 12.87, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,845 - Epoch: 100, SNRdB: 13.03, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,849 - Epoch: 100, SNRdB: 13.19, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,853 - Epoch: 100, SNRdB: 13.35, SER: 0.500, BER: 0.500
2021-03-20 10:42:55,856 - Epoch: 100, SNRdB: 13.50, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,859 - Epoch: 100, SNRdB: 13.66, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,862 - Epoch: 100, SNRdB: 13.82, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,865 - Epoch: 100, SNRdB: 13.98, SER: 0.500, BER: 0.500
2021-03-20 10:42:55,868 - Epoch: 100, SNRdB: 14.13, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,872 - Epoch: 100, SNRdB: 14.29, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,876 - Epoch: 100, SNRdB: 14.45, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,879 - Epoch: 100, SNRdB: 14.61, SER: 0.500, BER: 0.500
2021-03-20 10:42:55,883 - Epoch: 100, SNRdB: 14.76, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,887 - Epoch: 100, SNRdB: 14.92, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,891 - Epoch: 100, SNRdB: 15.08, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,895 - Epoch: 100, SNRdB: 15.24, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,898 - Epoch: 100, SNRdB: 15.39, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,902 - Epoch: 100, SNRdB: 15.55, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,906 - Epoch: 100, SNRdB: 15.71, SER: 0.500, BER: 0.500
2021-03-20 10:42:55,909 - Epoch: 100, SNRdB: 15.87, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,913 - Epoch: 100, SNRdB: 16.02, SER: 0.500, BER: 0.500
2021-03-20 10:42:55,916 - Epoch: 100, SNRdB: 16.18, SER: 0.500, BER: 0.500
2021-03-20 10:42:55,920 - Epoch: 100, SNRdB: 16.34, SER: 0.500, BER: 0.500
2021-03-20 10:42:55,923 - Epoch: 100, SNRdB: 16.50, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,927 - Epoch: 100, SNRdB: 16.65, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,930 - Epoch: 100, SNRdB: 16.81, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,933 - Epoch: 100, SNRdB: 16.97, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,937 - Epoch: 100, SNRdB: 17.13, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,940 - Epoch: 100, SNRdB: 17.28, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,944 - Epoch: 100, SNRdB: 17.44, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,947 - Epoch: 100, SNRdB: 17.60, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,950 - Epoch: 100, SNRdB: 17.76, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,953 - Epoch: 100, SNRdB: 17.91, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,957 - Epoch: 100, SNRdB: 18.07, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,960 - Epoch: 100, SNRdB: 18.23, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,963 - Epoch: 100, SNRdB: 18.39, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,966 - Epoch: 100, SNRdB: 18.54, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,970 - Epoch: 100, SNRdB: 18.70, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,973 - Epoch: 100, SNRdB: 18.86, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,976 - Epoch: 100, SNRdB: 19.02, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,980 - Epoch: 100, SNRdB: 19.17, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,983 - Epoch: 100, SNRdB: 19.33, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,986 - Epoch: 100, SNRdB: 19.49, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,990 - Epoch: 100, SNRdB: 19.65, SER: 0.500, BER: 0.250
2021-03-20 10:42:55,993 - Epoch: 100, SNRdB: 19.80, SER: 0.000, BER: 0.000
2021-03-20 10:42:55,996 - Epoch: 100, SNRdB: 19.96, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,000 - Epoch: 100, SNRdB: 20.12, SER: 1.000, BER: 0.500
2021-03-20 10:42:56,003 - Epoch: 100, SNRdB: 20.28, SER: 0.500, BER: 0.500
2021-03-20 10:42:56,006 - Epoch: 100, SNRdB: 20.43, SER: 0.500, BER: 0.500
2021-03-20 10:42:56,009 - Epoch: 100, SNRdB: 20.59, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,013 - Epoch: 100, SNRdB: 20.75, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,016 - Epoch: 100, SNRdB: 20.91, SER: 0.000, BER: 0.000
2021-03-20 10:42:56,019 - Epoch: 100, SNRdB: 21.06, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,023 - Epoch: 100, SNRdB: 21.22, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,027 - Epoch: 100, SNRdB: 21.38, SER: 0.500, BER: 0.500
2021-03-20 10:42:56,030 - Epoch: 100, SNRdB: 21.54, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,034 - Epoch: 100, SNRdB: 21.69, SER: 0.000, BER: 0.000
2021-03-20 10:42:56,038 - Epoch: 100, SNRdB: 21.85, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,042 - Epoch: 100, SNRdB: 22.01, SER: 0.000, BER: 0.000
2021-03-20 10:42:56,045 - Epoch: 100, SNRdB: 22.17, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,049 - Epoch: 100, SNRdB: 22.32, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,052 - Epoch: 100, SNRdB: 22.48, SER: 0.000, BER: 0.000
2021-03-20 10:42:56,057 - Epoch: 100, SNRdB: 22.64, SER: 0.000, BER: 0.000
2021-03-20 10:42:56,061 - Epoch: 100, SNRdB: 22.80, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,064 - Epoch: 100, SNRdB: 22.95, SER: 0.000, BER: 0.000
2021-03-20 10:42:56,067 - Epoch: 100, SNRdB: 23.11, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,071 - Epoch: 100, SNRdB: 23.27, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,074 - Epoch: 100, SNRdB: 23.43, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,077 - Epoch: 100, SNRdB: 23.58, SER: 0.000, BER: 0.000
2021-03-20 10:42:56,080 - Epoch: 100, SNRdB: 23.74, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,083 - Epoch: 100, SNRdB: 23.90, SER: 0.000, BER: 0.000
2021-03-20 10:42:56,087 - Epoch: 100, SNRdB: 24.06, SER: 0.000, BER: 0.000
2021-03-20 10:42:56,090 - Epoch: 100, SNRdB: 24.21, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,093 - Epoch: 100, SNRdB: 24.37, SER: 0.500, BER: 0.500
2021-03-20 10:42:56,096 - Epoch: 100, SNRdB: 24.53, SER: 0.000, BER: 0.000
2021-03-20 10:42:56,099 - Epoch: 100, SNRdB: 24.69, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,103 - Epoch: 100, SNRdB: 24.84, SER: 0.000, BER: 0.000
2021-03-20 10:42:56,106 - Epoch: 100, SNRdB: 25.00, SER: 0.500, BER: 0.250
2021-03-20 10:42:56,128 - ./SISO_QAM16_AWGN_LINEAR_FCNet/upstream4_downstream5_dropout_epoch100.pth saved.
2021-03-20 10:45:39,949 - Testing at epoch 200
2021-03-20 10:45:39,984 - Epoch: 200, SNRdB: 5.00, SER: 0.500, BER: 0.250
2021-03-20 10:45:39,987 - Epoch: 200, SNRdB: 5.16, SER: 0.000, BER: 0.000
2021-03-20 10:45:39,989 - Epoch: 200, SNRdB: 5.31, SER: 0.000, BER: 0.000
2021-03-20 10:45:39,992 - Epoch: 200, SNRdB: 5.47, SER: 0.500, BER: 0.250
2021-03-20 10:45:39,995 - Epoch: 200, SNRdB: 5.63, SER: 0.500, BER: 0.250
2021-03-20 10:45:39,997 - Epoch: 200, SNRdB: 5.79, SER: 0.500, BER: 0.250
2021-03-20 10:45:40,000 - Epoch: 200, SNRdB: 5.94, SER: 0.500, BER: 0.250
2021-03-20 10:45:40,003 - Epoch: 200, SNRdB: 6.10, SER: 0.500, BER: 0.250
2021-03-20 10:45:40,005 - Epoch: 200, SNRdB: 6.26, SER: 0.000, BER: 0.000
2021-03-20 10:45:40,008 - Epoch: 200, SNRdB: 6.42, SER: 0.000, BER: 0.000
2021-03-20 10:45:40,011 - Epoch: 200, SNRdB: 6.57, SER: 0.500, BER: 0.250
2021-03-20 10:45:40,013 - Epoch: 200, SNRdB: 6.73, SER: 0.000, BER: 0.000
2021-03-20 10:45:40,016 - Epoch: 200, SNRdB: 6.89, SER: 0.000, BER: 0.000
2021-03-20 10:45:40,019 - Epoch: 200, SNRdB: 7.05, SER: 0.000, BER: 0.000
2021-03-20 10:45:40,021 - Epoch: 200, SNRdB: 7.20, SER: 0.000, BER: 0.000
2021-03-20 10:45:40,024 - Epoch: 200, SNRdB: 7.36, SER: 0.500, BER: 0.250
2021-03-20 10:45:40,027 - Epoch: 200, SNRdB: 7.52, SER: 0.500, BER: 0.250
